Date,FltDates,CumValue
1986-03-13,-13.802739726027397,0.05686436292646128
1986-03-14,-13.8,0.058895135772447586
1986-03-17,-13.791780821917808,0.05991104139880632
1986-03-18,-13.789041095890411,0.05838741677270438
1986-03-19,-13.786301369863013,0.05737201659597968
1986-03-20,-13.783561643835617,0.055848983380333894
1986-03-21,-13.780821917808218,0.05432590890349349
1986-03-24,-13.772602739726027,0.05280286881098193
1986-03-25,-13.76986301369863,0.05381821741121335
1986-03-26,-13.767123287671232,0.055341281572755106
1986-03-27,-13.764383561643836,0.05635665424201672
1986-03-31,-13.753424657534246,0.055848983380333894
1986-04-01,-13.75068493150685,0.055341281572755106
1986-04-02,-13.747945205479452,0.055848983380333894
1986-04-03,-13.745205479452055,0.05635665424201672
1986-04-04,-13.742465753424657,0.05635665424201672
1986-04-07,-13.734246575342466,0.055341281572755106
1986-04-08,-13.731506849315068,0.055848983380333894
1986-04-09,-13.728767123287671,0.05686436292646128
1986-04-10,-13.726027397260275,0.05737201659597968
1986-04-11,-13.723287671232876,0.05838741677270438
1986-04-14,-13.715068493150685,0.058895135772447586
1986-04-15,-13.712328767123287,0.058895135772447586
1986-04-16,-13.70958904109589,0.06092642438336659
1986-04-17,-13.706849315068492,0.06143409524504942
1986-04-18,-13.704109589041096,0.059403370537123495
1986-04-21,-13.695890410958905,0.059403370537123495
1986-04-22,-13.693150684931506,0.05838741677270438
1986-04-23,-13.69041095890411,0.05864124188824713
1986-04-24,-13.687671232876712,0.06448021669126715
1986-04-25,-13.684931506849315,0.06854229877876977
1986-04-28,-13.676712328767124,0.06904999027104991
1986-04-29,-13.673972602739726,0.06701864664520475
1986-04-30,-13.67123287671233,0.06549558592209588
1986-05-01,-13.668493150684931,0.06448021669126715
1986-05-02,-13.665753424657535,0.06448021669126715
1986-05-05,-13.657534246575343,0.06397253207585278
1986-05-06,-13.654794520547945,0.06448021669126715
1986-05-07,-13.652054794520549,0.06448021669126715
1986-05-08,-13.64931506849315,0.06498791506041306
1986-05-09,-13.646575342465754,0.06448021669126715
1986-05-12,-13.638356164383561,0.06498791506041306
1986-05-13,-13.635616438356164,0.06549558592209588
1986-05-14,-13.632876712328768,0.06498791506041306
1986-05-15,-13.63013698630137,0.06498791506041306
1986-05-16,-13.627397260273973,0.06549558592209588
1986-05-19,-13.61917808219178,0.06448021669126715
1986-05-20,-13.616438356164384,0.06397253207585278
1986-05-21,-13.613698630136986,0.06295716284502405
1986-05-22,-13.610958904109589,0.06295716284502405
1986-05-23,-13.608219178082193,0.06295716284502405
1986-05-27,-13.597260273972603,0.06498791506041306
1986-05-28,-13.594520547945205,0.06701864664520475
1986-05-29,-13.591780821917808,0.06854229877876977
1986-05-30,-13.58904109589041,0.07108072185584159
1986-06-02,-13.580821917808219,0.06904999027104991
1986-06-03,-13.578082191780823,0.06904999027104991
1986-06-04,-13.575342465753424,0.06854229877876977
1986-06-05,-13.572602739726028,0.06955768176333003
1986-06-06,-13.56986301369863,0.06955768176333003
1986-06-09,-13.561643835616438,0.06651096890665616
1986-06-10,-13.558904109589042,0.06651096890665616
1986-06-11,-13.556164383561644,0.06651096890665616
1986-06-12,-13.553424657534247,0.06397253207585278
1986-06-13,-13.550684931506849,0.06397253207585278
1986-06-16,-13.542465753424658,0.06346486809103573
1986-06-17,-13.53972602739726,0.06448021669126715
1986-06-18,-13.536986301369863,0.06397253207585278
1986-06-19,-13.534246575342467,0.06346486809103573
1986-06-20,-13.531506849315068,0.06371869320657848
1986-06-23,-13.523287671232877,0.06448021669126715
1986-06-24,-13.520547945205479,0.06397253207585278
1986-06-25,-13.517808219178082,0.06295716284502405
1986-06-26,-13.515068493150684,0.06092642438336659
1986-06-27,-13.512328767123288,0.06041873976795222
1986-06-30,-13.504109589041096,0.062449498860206995
1986-07-01,-13.501369863013698,0.062449498860206995
1986-07-02,-13.498630136986302,0.062449498860206995
1986-07-03,-13.495890410958904,0.06346486809103573
1986-07-07,-13.484931506849316,0.06092642438336659
1986-07-08,-13.482191780821918,0.059403370537123495
1986-07-09,-13.479452054794521,0.05686436292646128
1986-07-10,-13.476712328767123,0.055341281572755106
1986-07-11,-13.473972602739726,0.05686436292646128
1986-07-14,-13.465753424657533,0.05610282224960819
1986-07-15,-13.463013698630137,0.05686436292646128
1986-07-16,-13.46027397260274,0.058895135772447586
1986-07-17,-13.457534246575342,0.05991104139880632
1986-07-18,-13.454794520547946,0.06041873976795222
1986-07-21,-13.446575342465753,0.06041873976795222
1986-07-22,-13.443835616438356,0.062449498860206995
1986-07-23,-13.441095890410958,0.06092642438336659
1986-07-24,-13.438356164383562,0.06295716284502405
1986-07-25,-13.435616438356165,0.06346486809103573
1986-07-28,-13.427397260273972,0.06194181424479263
1986-07-29,-13.424657534246576,0.06041873976795222
1986-07-30,-13.421917808219177,0.05838741677270438
1986-07-31,-13.419178082191781,0.05787973903415578
1986-08-01,-13.416438356164383,0.05737201659597968
1986-08-04,-13.408219178082192,0.05737201659597968
1986-08-05,-13.405479452054795,0.05686436292646128
1986-08-06,-13.402739726027397,0.05635665424201672
1986-08-07,-13.4,0.055848983380333894
1986-08-08,-13.397260273972602,0.05635665424201672
1986-08-11,-13.389041095890411,0.05838741677270438
1986-08-12,-13.386301369863014,0.05991104139880632
1986-08-13,-13.383561643835616,0.06041873976795222
1986-08-14,-13.38082191780822,0.06194181424479263
1986-08-15,-13.378082191780821,0.062195653114066926
1986-08-18,-13.36986301369863,0.06143409524504942
1986-08-19,-13.367123287671234,0.06143409524504942
