Syb,All,Stocks,MutualFunds,ETFs,Indices,Futures,Currencies
0j,8,7,0,1,0,0,0
0k,23,17,0,2,1,3,0
0l,23,17,0,2,1,3,0
0m,23,17,0,2,1,3,0
0n,23,17,0,2,1,3,0
0o,23,17,0,2,1,3,0
0p,23,17,0,2,1,3,0
0q,23,17,0,2,1,3,0
0r,23,17,0,2,1,3,0
0s,23,17,0,2,1,3,0
0t,23,17,0,2,1,3,0
0u,668,643,6,7,12,0,0
0v,668,643,6,7,12,0,0
0w,668,643,6,7,12,0,0
0x,668,643,6,7,12,0,0
0y,668,643,6,7,12,0,0
0z,668,643,6,7,12,0,0
0,668,643,6,7,12,0,0
1,668,643,6,7,12,0,0
2,668,643,6,7,12,0,0
3,668,643,6,7,12,0,0
4,441,19,2,327,93,0,0
5,441,19,2,327,93,0,0
6,441,19,2,327,93,0,0
7,441,19,2,327,93,0,0
8,441,19,2,327,93,0,0
9,441,19,2,327,93,0,0
1a,441,19,2,327,93,0,0
1b,441,19,2,327,93,0,0
1c,441,19,2,327,93,0,0
1d,441,19,2,327,93,0,0
1e,28,25,0,1,2,0,0
1f,28,25,0,1,2,0,0
1g,28,25,0,1,2,0,0
1h,28,25,0,1,2,0,0
1i,28,25,0,1,2,0,0
1j,28,25,0,1,2,0,0
1k,28,25,0,1,2,0,0
1l,28,25,0,1,2,0,0
1m,28,25,0,1,2,0,0
1n,28,25,0,1,2,0,0
1o,194,67,10,64,53,0,0
1p,194,67,10,64,53,0,0
1q,194,67,10,64,53,0,0
1r,194,67,10,64,53,0,0
1s,194,67,10,64,53,0,0
1t,194,67,10,64,53,0,0
1u,194,67,10,64,53,0,0
1v,194,67,10,64,53,0,0
1w,194,67,10,64,53,0,0
1x,194,67,10,64,53,0,0
1y,532,455,56,20,1,0,0
1z,532,455,56,20,1,0,0
10,532,455,56,20,1,0,0
11,532,455,56,20,1,0,0
12,532,455,56,20,1,0,0
13,532,455,56,20,1,0,0
14,532,455,56,20,1,0,0
15,532,455,56,20,1,0,0
16,532,455,56,20,1,0,0
17,532,455,56,20,1,0,0
18,18,17,0,1,0,0,0
19,18,17,0,1,0,0,0
2a,18,17,0,1,0,0,0
2b,18,17,0,1,0,0,0
2c,18,17,0,1,0,0,0
2d,18,17,0,1,0,0,0
2e,18,17,0,1,0,0,0
2f,18,17,0,1,0,0,0
2g,18,17,0,1,0,0,0
2h,18,17,0,1,0,0,0
2i,56,16,40,0,0,0,0
2j,56,16,40,0,0,0,0
2k,56,16,40,0,0,0,0
2l,56,16,40,0,0,0,0
2m,56,16,40,0,0,0,0
2n,56,16,40,0,0,0,0
2o,56,16,40,0,0,0,0
2p,56,16,40,0,0,0,0
2q,56,16,40,0,0,0,0
2r,56,16,40,0,0,0,0
2s,2205,2001,69,32,7,96,0
2t,2205,2001,69,32,7,96,0
2u,2205,2001,69,32,7,96,0
2v,2205,2001,69,32,7,96,0
2w,2205,2001,69,32,7,96,0
2x,2205,2001,69,32,7,96,0
2y,2205,2001,69,32,7,96,0
2z,2205,2001,69,32,7,96,0
20,2205,2001,69,32,7,96,0
21,2205,2001,69,32,7,96,0
22,31,15,10,1,5,0,0
23,31,15,10,1,5,0,0
24,31,15,10,1,5,0,0
25,31,15,10,1,5,0,0
26,31,15,10,1,5,0,0
27,31,15,10,1,5,0,0
28,31,15,10,1,5,0,0
29,31,15,10,1,5,0,0
3a,31,15,10,1,5,0,0
3b,31,15,10,1,5,0,0
3c,17,17,0,0,0,0,0
3d,17,17,0,0,0,0,0
3e,17,17,0,0,0,0,0
3f,17,17,0,0,0,0,0
3g,17,17,0,0,0,0,0
3h,17,17,0,0,0,0,0
3i,17,17,0,0,0,0,0
3j,17,17,0,0,0,0,0
3k,17,17,0,0,0,0,0
3l,17,17,0,0,0,0,0
3m,12,9,0,2,1,0,0
3n,12,9,0,2,1,0,0
3o,12,9,0,2,1,0,0
3p,12,9,0,2,1,0,0
3q,12,9,0,2,1,0,0
3r,12,9,0,2,1,0,0
3s,12,9,0,2,1,0,0
3t,12,9,0,2,1,0,0
3u,12,9,0,2,1,0,0
3v,12,9,0,2,1,0,0
3w,317,82,45,8,182,0,0
3x,317,82,45,8,182,0,0
3y,317,82,45,8,182,0,0
3z,317,82,45,8,182,0,0
30,317,82,45,8,182,0,0
31,317,82,45,8,182,0,0
32,317,82,45,8,182,0,0
33,317,82,45,8,182,0,0
34,317,82,45,8,182,0,0
35,317,82,45,8,182,0,0
36,21,21,0,0,0,0,0
37,21,21,0,0,0,0,0
38,21,21,0,0,0,0,0
39,21,21,0,0,0,0,0
4a,21,21,0,0,0,0,0
4b,21,21,0,0,0,0,0
4c,21,21,0,0,0,0,0
4d,21,21,0,0,0,0,0
4e,21,21,0,0,0,0,0
4f,21,21,0,0,0,0,0
4g,30,23,0,0,7,0,0
4h,30,23,0,0,7,0,0
4i,30,23,0,0,7,0,0
4j,30,23,0,0,7,0,0
4k,30,23,0,0,7,0,0
4l,30,23,0,0,7,0,0
4m,30,23,0,0,7,0,0
4n,30,23,0,0,7,0,0
4o,30,23,0,0,7,0,0
4p,30,23,0,0,7,0,0
4q,6,5,0,0,0,0,1
4r,6,5,0,0,0,0,1
4s,6,5,0,0,0,0,1
4t,6,5,0,0,0,0,1
4u,6,5,0,0,0,0,1
4v,6,5,0,0,0,0,1
4w,6,5,0,0,0,0,1
4x,6,5,0,0,0,0,1
4y,6,5,0,0,0,0,1
4z,6,5,0,0,0,0,1
40,53,41,12,0,0,0,0
41,53,41,12,0,0,0,0
42,53,41,12,0,0,0,0
43,53,41,12,0,0,0,0
44,53,41,12,0,0,0,0
45,53,41,12,0,0,0,0
46,53,41,12,0,0,0,0
47,53,41,12,0,0,0,0
48,53,41,12,0,0,0,0
49,53,41,12,0,0,0,0
5a,13,8,0,5,0,0,0
5b,13,8,0,5,0,0,0
5c,13,8,0,5,0,0,0
5d,13,8,0,5,0,0,0
5e,13,8,0,5,0,0,0
5f,13,8,0,5,0,0,0
5g,13,8,0,5,0,0,0
5h,13,8,0,5,0,0,0
5i,13,8,0,5,0,0,0
5j,13,8,0,5,0,0,0
5k,27,23,0,2,2,0,0
5l,27,23,0,2,2,0,0
5m,27,23,0,2,2,0,0
5n,27,23,0,2,2,0,0
5o,27,23,0,2,2,0,0
5p,27,23,0,2,2,0,0
5q,27,23,0,2,2,0,0
5r,27,23,0,2,2,0,0
5s,27,23,0,2,2,0,0
5t,27,23,0,2,2,0,0
5u,35,29,6,0,0,0,0
5v,35,29,6,0,0,0,0
5w,35,29,6,0,0,0,0
5x,35,29,6,0,0,0,0
5y,35,29,6,0,0,0,0
5z,35,29,6,0,0,0,0
50,35,29,6,0,0,0,0
51,35,29,6,0,0,0,0
52,35,29,6,0,0,0,0
53,35,29,6,0,0,0,0
54,17,16,0,1,0,0,0
55,17,16,0,1,0,0,0
56,17,16,0,1,0,0,0
57,17,16,0,1,0,0,0
58,17,16,0,1,0,0,0
59,17,16,0,1,0,0,0
6a,17,16,0,1,0,0,0
6b,17,16,0,1,0,0,0
6c,17,16,0,1,0,0,0
6d,17,16,0,1,0,0,0
6e,12,11,0,1,0,0,0
6f,12,11,0,1,0,0,0
6g,12,11,0,1,0,0,0
6h,12,11,0,1,0,0,0
6i,12,11,0,1,0,0,0
6j,12,11,0,1,0,0,0
6k,12,11,0,1,0,0,0
6l,12,11,0,1,0,0,0
6m,12,11,0,1,0,0,0
6n,12,11,0,1,0,0,0
