Date,FltDates,CumValue
1997-05-15,-2.6301369863013697,1.9583333730697632
1997-05-16,-2.6273972602739724,1.7291666269302368
1997-05-19,-2.6191780821917807,1.7083333730697632
1997-05-20,-2.616438356164384,1.6354166269302368
1997-05-21,-2.6136986301369864,1.4270833730697632
1997-05-22,-2.610958904109589,1.3958333730697632
1997-05-23,-2.6082191780821917,1.5
1997-05-27,-2.5972602739726027,1.5833333730697632
1997-05-28,-2.5945205479452054,1.53125
1997-05-29,-2.5917808219178085,1.5052083730697632
1997-05-30,-2.589041095890411,1.5
1997-06-02,-2.580821917808219,1.5104166269302368
1997-06-03,-2.578082191780822,1.4791666269302368
1997-06-04,-2.5753424657534247,1.4166666269302368
1997-06-05,-2.5726027397260274,1.5416666269302368
1997-06-06,-2.56986301369863,1.65625
1997-06-09,-2.5616438356164384,1.6875
1997-06-10,-2.558904109589041,1.5833333730697632
1997-06-11,-2.5561643835616437,1.5416666269302368
1997-06-12,-2.5534246575342467,1.6041666269302368
1997-06-13,-2.5506849315068494,1.5833333730697632
1997-06-16,-2.5424657534246577,1.5729166269302368
1997-06-17,-2.5397260273972604,1.5052083730697632
1997-06-18,-2.536986301369863,1.5104166269302368
1997-06-19,-2.5342465753424657,1.5104166269302368
1997-06-20,-2.5315068493150683,1.5260416269302368
1997-06-23,-2.5232876712328767,1.5
1997-06-24,-2.5205479452054793,1.5104166269302368
1997-06-25,-2.5178082191780824,1.5104166269302368
1997-06-26,-2.515068493150685,1.5104166269302368
1997-06-27,-2.5123287671232877,1.4895833730697632
1997-06-30,-2.504109589041096,1.5416666269302368
1997-07-01,-2.5013698630136987,1.515625
1997-07-02,-2.4986301369863013,1.5885416269302368
1997-07-03,-2.495890410958904,1.9114583730697632
1997-07-07,-2.484931506849315,2.0
1997-07-08,-2.4821917808219176,2.3020832538604736
1997-07-09,-2.4794520547945207,2.3229167461395264
1997-07-10,-2.4767123287671233,2.5625
1997-07-11,-2.473972602739726,2.2916667461395264
1997-07-14,-2.4657534246575343,2.1354167461395264
1997-07-15,-2.463013698630137,2.4375
1997-07-16,-2.4602739726027396,2.3333332538604736
1997-07-17,-2.4575342465753423,2.21875
1997-07-18,-2.4547945205479453,2.15625
1997-07-21,-2.4465753424657537,2.1822917461395264
1997-07-22,-2.4438356164383563,2.1354167461395264
1997-07-23,-2.441095890410959,2.2916667461395264
1997-07-24,-2.4383561643835616,2.2604167461395264
1997-07-25,-2.4356164383561643,2.2291667461395264
1997-07-28,-2.4273972602739726,2.3229167461395264
1997-07-29,-2.4246575342465753,2.4791667461395264
1997-07-30,-2.4219178082191783,2.4479167461395264
1997-07-31,-2.419178082191781,2.3958332538604736
1997-08-01,-2.4164383561643836,2.4166667461395264
1997-08-04,-2.4082191780821915,2.3125
1997-08-05,-2.4054794520547946,2.2083332538604736
1997-08-06,-2.4027397260273973,2.25
1997-08-07,-2.4,2.1770832538604736
1997-08-08,-2.397260273972603,2.2916667461395264
1997-08-11,-2.389041095890411,2.328125
1997-08-12,-2.3863013698630136,2.1979167461395264
1997-08-13,-2.383561643835616,2.1979167461395264
1997-08-14,-2.3808219178082193,2.15625
1997-08-15,-2.378082191780822,2.1145832538604736
1997-08-18,-2.3698630136986303,2.0416667461395264
1997-08-19,-2.367123287671233,2.1666667461395264
1997-08-20,-2.3643835616438356,2.1666667461395264
1997-08-21,-2.361643835616438,2.1145832538604736
1997-08-22,-2.358904109589041,2.125
1997-08-25,-2.350684931506849,2.21875
1997-08-26,-2.3479452054794523,2.34375
1997-08-27,-2.345205479452055,2.3177082538604736
1997-08-28,-2.3424657534246576,2.375
1997-08-29,-2.33972602739726,2.3385417461395264
1997-09-02,-2.328767123287671,2.3541667461395264
1997-09-03,-2.326027397260274,2.3333332538604736
1997-09-04,-2.323287671232877,2.5520832538604736
1997-09-05,-2.3205479452054796,2.5
1997-09-08,-2.3123287671232875,3.0
1997-09-09,-2.30958904109589,3.2395832538604736
1997-09-10,-2.3068493150684932,3.3020832538604736
1997-09-11,-2.304109589041096,3.15625
1997-09-12,-2.3013698630136985,3.6875
1997-09-15,-2.293150684931507,3.09375
1997-09-16,-2.2904109589041095,3.3541667461395264
1997-09-17,-2.287671232876712,3.40625
1997-09-18,-2.2849315068493152,3.2916667461395264
1997-09-19,-2.282191780821918,3.9479167461395264
1997-09-22,-2.2739726027397262,4.5
1997-09-23,-2.271232876712329,4.625
1997-09-24,-2.2684931506849315,4.375
1997-09-25,-2.265753424657534,4.078125
1997-09-26,-2.263013698630137,4.166666507720947
1997-09-29,-2.254794520547945,4.041666507720947
1997-09-30,-2.252054794520548,4.338541507720947
1997-10-01,-2.249315068493151,4.020833492279053
1997-10-02,-2.2465753424657535,4.010416507720947
1997-10-03,-2.243835616438356,4.015625
1997-10-06,-2.2356164383561645,4.125
1997-10-07,-2.232876712328767,4.057291507720947
1997-10-08,-2.23013698630137,4.005208492279053
1997-10-09,-2.2273972602739724,3.75
1997-10-10,-2.2246575342465755,3.9010417461395264
1997-10-13,-2.2164383561643834,4.0
1997-10-14,-2.213698630136986,3.9791667461395264
1997-10-15,-2.210958904109589,3.921875
1997-10-16,-2.208219178082192,3.625
1997-10-17,-2.2054794520547945,3.625
1997-10-20,-2.197260273972603,3.8229167461395264
1997-10-21,-2.1945205479452055,4.427083492279053
1997-10-22,-2.191780821917808,4.520833492279053
1997-10-23,-2.1890410958904107,4.5
1997-10-24,-2.186301369863014,5.026041507720947
1997-10-27,-2.178082191780822,4.270833492279053
1997-10-28,-2.175342465753425,4.947916507720947
