Date,FltDates,CumValue,ReValue
2018-01-02,18.005479452054793,15.664656743968203,15.604939857194545
2018-01-03,18.008219178082193,15.738540268576239,15.678541722641732
2018-01-04,18.01095890410959,15.657661584705645,15.597971364914894
2018-01-05,18.013698630136986,15.54890468748335,15.48962907130782
2018-01-06,18.016438356164382,15.549003317711563,15.48972732553736
2018-01-07,18.019178082191782,15.549003317711563,15.48972732553736
2018-01-08,18.02191780821918,15.549003317711563,15.48972732553736
2018-01-09,18.024657534246575,15.579837592806948,15.520444054047159
2018-01-10,18.027397260273972,15.58545287724209,15.526037931865464
2018-01-11,18.03013698630137,15.659435032078338,15.599738051542191
2018-01-12,18.03287671232877,15.67785612393245,15.618088918413115
2018-01-13,18.035616438356165,15.68051724335907,15.620739893106268
2018-01-14,18.03835616438356,15.68051724335907,15.620739893106268
2018-01-15,18.041095890410958,15.68051724335907,15.620739893106268
2018-01-16,18.043835616438358,15.61352835105022,15.554006376204777
2018-01-17,18.046575342465754,15.620818452629843,15.561268686420838
2018-01-18,18.04931506849315,15.619734468487067,15.56018883464811
2018-01-19,18.052054794520547,15.711251939858661,15.651357422634321
2018-01-20,18.054794520547944,15.726422976019608,15.666470623691476
2018-01-21,18.057534246575344,15.726422976019608,15.666470623691476
2018-01-22,18.06027397260274,15.726422976019608,15.666470623691476
2018-01-23,18.063013698630137,15.79685823611047,15.736637370113607
2018-01-24,18.065753424657533,15.721497154814385,15.66156358072774
2018-01-25,18.068493150684933,15.704061416874833,15.644194311400005
2018-01-26,18.07123287671233,15.742874308412178,15.682859240228229
2018-01-27,18.073972602739726,15.599539929260263,15.54007128114989
2018-01-28,18.076712328767123,15.599539929260263,15.54007128114989
2018-01-29,18.07945205479452,15.599539929260263,15.54007128114989
2018-01-30,18.08219178082192,15.406062511104926,15.347331438624973
2018-01-31,18.084931506849315,15.433843042595994,15.375006065027874
2018-02-01,18.087671232876712,15.329617445666065,15.271177797466377
2018-02-02,18.09041095890411,15.23415950700381,15.176083764059623
2018-02-03,18.09315068493151,15.088164956792854,15.030645775040337
2018-02-04,18.095890410958905,15.088164956792854,15.030645775040337
2018-02-05,18.0986301369863,15.088164956792854,15.030645775040337
2018-02-06,18.101369863013698,15.145301258323677,15.087564261262152
2018-02-07,18.104109589041094,15.107080148155616,15.049488857811166
2018-02-08,18.106849315068494,14.911434761714728,14.854589311740792
2018-02-09,18.10958904109589,14.863853263542133,14.80718920400562
2018-02-10,18.112328767123287,15.06097525830349,15.003559729262465
2018-02-11,18.115068493150684,15.06097525830349,15.003559729262465
2018-02-12,18.117808219178084,15.06097525830349,15.003559729262465
2018-02-13,18.12054794520548,15.005612404145362,14.948407929667948
2018-02-14,18.123287671232877,15.073782962457619,15.0163186078195
2018-02-15,18.126027397260273,15.149734876755408,15.091980977830396
2018-02-16,18.12876712328767,15.277603277429314,15.219361917915169
2018-02-17,18.13150684931507,15.326170129516472,15.26774362319353
2018-02-18,18.134246575342466,15.326170129516472,15.26774362319353
2018-02-19,18.136986301369863,15.326170129516472,15.26774362319353
2018-02-20,18.13972602739726,15.326170129516472,15.26774362319353
2018-02-21,18.14246575342466,15.311688556585443,15.253317256990945
2018-02-22,18.145205479452056,15.308043031611843,15.24968562950681
2018-02-23,18.147945205479452,15.358678273388756,15.30012783934888
2018-02-24,18.15068493150685,15.397984316067172,15.3392840393248
2018-02-25,18.153424657534245,15.397984316067172,15.3392840393248
2018-02-26,18.156164383561645,15.397984316067172,15.3392840393248
2018-02-27,18.15890410958904,15.19741500515622,15.139479339795107
2018-02-28,18.161643835616438,15.051124564260622,14.993746588087204
2018-03-01,18.164383561643834,14.991032200986119,14.933883309235824
2018-03-02,18.167123287671235,15.111216927535127,15.053609866938583
2018-03-03,18.16986301369863,15.24942917339297,15.191295219346316
2018-03-04,18.172602739726027,15.24942917339297,15.191295219346316
2018-03-05,18.175342465753424,15.24942917339297,15.191295219346316
2018-03-06,18.17808219178082,15.198005838157924,15.140067920420138
2018-03-07,18.18082191780822,15.130525691443165,15.072845021875363
2018-03-08,18.183561643835617,15.186873899515854,15.12897841901307
2018-03-09,18.186301369863013,15.182145338767059,15.124267884508415
2018-03-10,18.18904109589041,15.201059581762241,15.143110022527035
2018-03-11,18.19178082191781,15.201059581762241,15.143110022527035
2018-03-12,18.194520547945206,15.201059581762241,15.143110022527035
2018-03-13,18.197260273972603,15.221648641901902,15.163620592943415
2018-03-14,18.2,15.22913505557037,15.171078466866348
2018-03-15,18.202739726027396,15.293562407048395,15.235260208056433
2018-03-16,18.205479452054796,15.357200716700705,15.298655915410201
2018-03-17,18.208219178082192,15.240562884897084,15.182462730962035
2018-03-18,18.21095890410959,15.240562884897084,15.182462730962035
2018-03-19,18.213698630136985,15.240562884897084,15.182462730962035
2018-03-20,18.216438356164385,15.26922919170692,15.21101975592638
2018-03-21,18.21917808219178,15.241547290444066,15.183443383753017
2018-03-22,18.221917808219178,15.12313601126775,15.065483512677554
2018-03-23,18.224657534246575,14.946701706874267,14.889721812066629
2018-03-24,18.22739726027397,15.021471955168648,14.964207020827464
2018-03-25,18.23013698630137,15.021471955168648,14.964207020827464
2018-03-26,18.232876712328768,15.021471955168648,14.964207020827464
2018-03-27,18.235616438356164,14.895870153008504,14.839084038517687
2018-03-28,18.23835616438356,14.928379245248369,14.871469199425244
2018-03-29,18.24109589041096,15.015660358644658,14.958417579302289
2018-03-30,18.243835616438357,14.921582294809816,14.86469816035688
2018-03-31,18.246575342465754,14.921582294809816,14.86469816035688
