Code,Name,Exchange,Type,Source
#008526,华泰柏瑞行业精选A,CHINA,Mutual Fund,ak
#008527,华泰柏瑞行业精选C,CHINA,Mutual Fund,ak
#001267,泰达宏利蓝筹混合,CHINA,Mutual Fund,ak
#005968,创金合信工业周期股票A,CHINA,Mutual Fund,ak
#005969,创金合信工业周期股票C,CHINA,Mutual Fund,ak
#001225,中邮趋势精选灵活配置混合,CHINA,Mutual Fund,ak
#001125,博时互联网主题灵活配置混合,CHINA,Mutual Fund,ak
#010460,兴业研究精选混合,CHINA,Mutual Fund,ak
#460001,华泰柏瑞盛世中国混合,CHINA,Mutual Fund,ak
#379010,上投摩根中小盘混合,CHINA,Mutual Fund,ak
#000173,汇添富美丽30混合,CHINA,Mutual Fund,ak
#375010,上投摩根中国优势混合,CHINA,Mutual Fund,ak
#005844,东方人工智能主题混合,CHINA,Mutual Fund,ak
#008997,同泰竞争优势混合A,CHINA,Mutual Fund,ak
#008998,同泰竞争优势混合C,CHINA,Mutual Fund,ak
#005544,银华瑞和灵活配置混合,CHINA,Mutual Fund,ak
#001398,华泰柏瑞健康生活混合,CHINA,Mutual Fund,ak
#011082,国投瑞银医疗保健混合C,CHINA,Mutual Fund,ak
#000523,国投瑞银医疗保健混合A,CHINA,Mutual Fund,ak
#001726,汇添富新兴消费股票,CHINA,Mutual Fund,ak
#006266,永赢智能领先混合A,CHINA,Mutual Fund,ak
#006269,永赢智能领先混合C,CHINA,Mutual Fund,ak
#009556,兴全合丰三年持有混合,CHINA,Mutual Fund,ak
#460007,华泰柏瑞行业领先混合,CHINA,Mutual Fund,ak
#007277,恒生前海消费升级混合,CHINA,Mutual Fund,ak
#001723,华商新动力混合,CHINA,Mutual Fund,ak
#162204,泰达宏利行业混合,CHINA,Mutual Fund,ak
#005708,国联安远见成长混合,CHINA,Mutual Fund,ak
#000689,前海开源新经济混合,CHINA,Mutual Fund,ak
#008293,农银汇理创新医疗混合,CHINA,Mutual Fund,ak
#519150,新华优选消费混合,CHINA,Mutual Fund,ak
#519655,银河服务混合,CHINA,Mutual Fund,ak
#006240,中融医疗健康混合A,CHINA,Mutual Fund,ak
#519670,银河行业混合,CHINA,Mutual Fund,ak
#010685,工银前沿医疗股票C,CHINA,Mutual Fund,ak
#006228,中欧医疗创新股票A,CHINA,Mutual Fund,ak
#003835,鹏华沪深港新兴成长混合,CHINA,Mutual Fund,ak
#006241,中融医疗健康混合C,CHINA,Mutual Fund,ak
#519008,汇添富优势精选混合,CHINA,Mutual Fund,ak
#006229,中欧医疗创新股票C,CHINA,Mutual Fund,ak
#000831,工银医疗保健股票,CHINA,Mutual Fund,ak
#160805,长盛同智优势混合(LOF),CHINA,Mutual Fund,ak
#001717,工银前沿医疗股票A,CHINA,Mutual Fund,ak
#001042,华夏领先股票,CHINA,Mutual Fund,ak
#004905,华泰柏瑞生物医药混合A,CHINA,Mutual Fund,ak
#010031,华泰柏瑞生物医药混合C,CHINA,Mutual Fund,ak
#004041,金鹰医疗健康产业C,CHINA,Mutual Fund,ak
#004040,金鹰医疗健康产业A,CHINA,Mutual Fund,ak
#001298,金鹰民族新兴混合,CHINA,Mutual Fund,ak
#163001,长信医疗保健混合(LOF),CHINA,Mutual Fund,ak
#501078,广发科创主题3年封闭混合,CHINA,Mutual Fund,ak
#005583,易方达港股通红利混合,CHINA,Mutual Fund,ak
#008843,同泰远见混合C,CHINA,Mutual Fund,ak
#399011,中海医疗保健主题股票,CHINA,Mutual Fund,ak
#008842,同泰远见混合A,CHINA,Mutual Fund,ak
#003231,创金合信医疗保健股票C,CHINA,Mutual Fund,ak
#002190,农银新能源主题,CHINA,Mutual Fund,ak
#001261,中融新机遇混合,CHINA,Mutual Fund,ak
#003230,创金合信医疗保健股票A,CHINA,Mutual Fund,ak
#320005,诺安价值增长混合,CHINA,Mutual Fund,ak
#010562,永赢成长领航混合A,CHINA,Mutual Fund,ak
#010563,永赢成长领航混合C,CHINA,Mutual Fund,ak
#590008,中邮战略新兴产业混合,CHINA,Mutual Fund,ak
#001861,富安达健康人生混合,CHINA,Mutual Fund,ak
#003145,中融竞争优势,CHINA,Mutual Fund,ak
#001606,农银工业4.0混合,CHINA,Mutual Fund,ak
#000684,长盛养老健康产业灵活配置混合,CHINA,Mutual Fund,ak
#671030,西部利得事件驱动股票,CHINA,Mutual Fund,ak
#002332,汇丰晋信沪港深A,CHINA,Mutual Fund,ak
#002333,汇丰晋信沪港深C,CHINA,Mutual Fund,ak
#008640,方正富邦科技创新A,CHINA,Mutual Fund,ak
#008641,方正富邦科技创新C,CHINA,Mutual Fund,ak
#003096,中欧医疗健康混合C,CHINA,Mutual Fund,ak
#004332,恒生沪港深新兴产业精选混合,CHINA,Mutual Fund,ak
#160143,南方创业板2年定期开放混合,CHINA,Mutual Fund,ak
#003095,中欧医疗健康混合A,CHINA,Mutual Fund,ak
#004784,招商稳健优选股票,CHINA,Mutual Fund,ak
#110025,易方达资源行业混合,CHINA,Mutual Fund,ak
#630016,华商价值共享混合发起式,CHINA,Mutual Fund,ak
#002300,长盛医疗行业量化配置股票,CHINA,Mutual Fund,ak
#006969,圆信永丰高端制造混合,CHINA,Mutual Fund,ak
#005777,广发科技动力股票,CHINA,Mutual Fund,ak
#005593,上投创新商业模式混合,CHINA,Mutual Fund,ak
