Code,Name,Exchange,Type,Source
#00152,深圳国际,HKG,Stocks,ak
#00153,中国赛特,HKG,Stocks,ak
#00154,北京控股环境集团,HKG,Stocks,ak
#00155,中国源畅,HKG,Stocks,ak
#00156,力宝华润,HKG,Stocks,ak
#00157,自然美,HKG,Stocks,ak
#00158,万邦投资,HKG,Stocks,ak
#00159,布莱克万矿业,HKG,Stocks,ak
#00160,汉国置业,HKG,Stocks,ak
#00162,世纪金花,HKG,Stocks,ak
#00163,英皇国际,HKG,Stocks,ak
#00164,中国宝力科技,HKG,Stocks,ak
#00165,中国光大控股,HKG,Stocks,ak
#00166,新时代能源,HKG,Stocks,ak
#00167,万威国际,HKG,Stocks,ak
#00168,青岛啤酒股份,HKG,Stocks,ak
#00169,万达酒店发展,HKG,Stocks,ak
#00171,银建国际,HKG,Stocks,ak
#00172,金榜集团,HKG,Stocks,ak
#00173,嘉华国际,HKG,Stocks,ak
#00174,盛洋投资,HKG,Stocks,ak
#00175,吉利汽车,HKG,Stocks,ak
#00176,先机企业集团,HKG,Stocks,ak
#00177,江苏宁沪高速公路,HKG,Stocks,ak
#00178,莎莎国际,HKG,Stocks,ak
#00179,德昌电机控股,HKG,Stocks,ak
#00180,开达集团,HKG,Stocks,ak
#00181,闽港控股,HKG,Stocks,ak
#00182,协合新能源,HKG,Stocks,ak
#00183,宏辉集团,HKG,Stocks,ak
#00184,激成投资,HKG,Stocks,ak
#00185,正商实业,HKG,Stocks,ak
#00186,敏捷控股,HKG,Stocks,ak
#00187,京城机电股份,HKG,Stocks,ak
#00188,新华汇富金融,HKG,Stocks,ak
#00189,东岳集团,HKG,Stocks,ak
#00190,香港建设(控股),HKG,Stocks,ak
#00191,丽新国际,HKG,Stocks,ak
#00193,冠中地产,HKG,Stocks,ak
#00194,廖创兴企业,HKG,Stocks,ak
#00195,绿科科技国际,HKG,Stocks,ak
#00196,宏华集团,HKG,Stocks,ak
#00197,亨泰,HKG,Stocks,ak
#00199,德祥地产,HKG,Stocks,ak
#00200,新濠国际发展,HKG,Stocks,ak
#00201,华大酒店,HKG,Stocks,ak
#00202,润中国际控股,HKG,Stocks,ak
#00204,中国投资开发,HKG,Stocks,ak
#00205,财讯传媒,HKG,Stocks,ak
